Time,timeFromLastRepair,timeToNextRepair
40569.37083333,1.54791666,22.87013667
40569.37291667,1.55,22.86805333
40569.375,1.55208333,22.86597
40569.37708333,1.55416666,22.86388667
40569.37916667,1.55625,22.86180333
40569.38125,1.55833333,22.85972
40569.38333333,1.56041666,22.85763667
40569.38541667,1.5625,22.85555333
40569.3875,1.56458333,22.85347
40569.38958333,1.56666666,22.85138667
40569.39166667,1.56875,22.84930333
40569.39375,1.57083333,22.84722
40569.39583333,1.57291666,22.84513667
40569.39791667,1.575,22.84305333
40569.4,1.57708333,22.84097
40569.40208333,1.57916666,22.83888667
40569.40416667,1.58125,22.83680333
40569.40625,1.58333333,22.83472
40569.40833333,1.58541666,22.83263667
40569.41041667,1.5875,22.83055333
40569.4125,1.58958333,22.82847
40569.41458333,1.59166666,22.82638667
40569.41666667,1.59375,22.82430333
40569.41875,1.59583333,22.82222
40569.42083333,1.59791666,22.82013667
40569.42291667,1.6,22.81805333
40569.425,1.60208333,22.81597
40569.42708333,1.60416666,22.81388667
40569.42916667,1.60625,22.81180333
40569.43125,1.60833333,22.80972
40569.43333333,1.61041666,22.80763667
40569.43541667,1.6125,22.80555333
40569.4375,1.61458333,22.80347
